group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,remote,race,gender
0,sherivelasquez@example.org,689,Tyrone,Martinez,1,True,False,1,False,"[0, 1, 4]",True,0,1
0,piercecharles@example.net,566,Lauren,Hodges,1,True,False,1,False,"[4, 0, 1]",True,0,1
0,uhenry@example.org,772,Michelle,Stout,1,True,False,1,False,"[4, 0, 1]",True,0,1
0,alvarezwilliam@example.net,673,Tiffany,Knight,1,True,False,1,False,"[1, 4, 0]",True,0,1
1,oliverjennifer@example.org,961,Richard,Carter,1,True,False,1,False,"[4, 0, 1]",True,3,0
1,fkhan@example.net,902,Isabel,Johnston,1,True,False,1,False,"[0, 1, 4]",True,3,0
1,wilsonheather@example.org,970,Garrett,Herman,1,True,False,1,False,"[0, 1, 4]",True,3,0
2,castillomelissa@example.org,775,Gregory,Conner,1,True,False,1,False,"[1, 5, 4]",True,0,1
2,marcwise@example.com,580,Paul,Bruce,1,True,False,1,False,"[5, 4, 0]",True,0,1
2,luceromonica@example.org,462,Susan,Strickland,1,True,False,1,False,"[0, 5, 4]",True,0,1
3,tracy93@example.org,588,Dominic,Wagner,1,True,False,1,False,"[4, 1, 5]",True,0,1
3,adam91@example.org,746,Richard,Wright,1,True,False,1,False,"[0, 5, 4]",True,0,1
3,xgarrett@example.org,487,William,Martin,1,True,False,1,False,"[0, 1, 5, 4]",True,0,1
3,fyoung@example.net,754,Melissa,Trujillo,1,True,False,1,False,"[1, 0, 5]",True,0,1
4,matthewerickson@example.com,920,Breanna,Hernandez,1,True,False,1,False,"[1, 4, 5]",True,3,0
4,terri74@example.com,948,Donald,White,1,True,False,1,False,"[4, 5, 0]",True,3,0
4,kibarra@example.com,895,Mary,Hernandez,1,True,False,1,False,"[5, 4, 0]",True,3,0
5,saranichols@example.com,532,Christine,Heath,1,True,False,1,False,"[1, 6, 4]",True,0,1
5,lucas09@example.com,607,Mr.,James,1,True,False,1,False,"[6, 0, 4]",True,0,1
5,middletonbeth@example.net,898,Heather,Proctor,1,True,False,1,False,"[1, 0, 6, 5]",True,3,0
5,anthonykennedy@example.net,927,Zachary,Wood,1,True,False,1,False,"[4, 1, 6]",True,3,0
5,ashley21@example.org,613,Jorge,Mathews,1,True,False,1,False,"[6, 1, 4]",True,0,1
5,nrogers@example.org,478,Benjamin,Conway,1,True,False,1,False,"[6, 4, 1, 0]",True,0,1
6,wigginsjohn@example.com,853,Daniel,Long,1,True,False,1,False,"[0, 6, 1]",True,3,0
6,johnsonjohn@example.net,937,Maureen,Adams,1,True,False,1,False,"[5, 6, 1]",True,3,0
6,lewisross@example.net,679,Ashley,Grimes,1,True,False,1,False,"[0, 6, 5]",True,0,1
6,landerson@example.org,474,Susan,Cook,1,True,False,1,False,"[0, 6, 5]",True,0,1
7,riveradennis@example.com,845,Elizabeth,Todd,1,True,False,1,False,"[4, 5, 0, 1, 6]",True,0,0
7,wgreer@example.net,820,Brian,Bonilla,1,True,False,1,False,"[4, 6, 0]",True,0,0
7,sarabentley@example.net,810,Paul,Gibbs,1,True,False,1,False,"[5, 6, 4]",True,0,0
8,rclark@example.net,704,Stephanie,Monroe,1,True,False,1,False,"[0, 6, 5]",True,0,1
8,april52@example.net,539,Andrew,Cardenas,1,True,False,1,False,"[6, 1, 4]",True,0,1
8,normanbrown@example.com,692,Joshua,Riley,1,True,False,1,False,"[5, 0, 6]",True,0,1
8,erica77@example.org,888,Stephanie,Lopez,1,True,False,1,False,"[0, 4, 6]",True,3,0
8,crystal65@example.net,936,Lori,Owens,1,True,False,1,False,"[5, 0, 6]",True,3,0
9,patricia74@example.net,627,Jessica,Cook,1,True,False,1,False,"[4, 0, 9, 6]",True,0,1
9,victoria09@example.org,485,Joshua,Ferguson,1,True,False,1,False,"[5, 4, 9, 0]",True,0,1
9,jason26@example.org,616,Steven,Becker,1,True,False,1,False,"[1, 0, 6, 9]",True,0,1
9,richardwood@example.org,766,Robert,Miller,1,True,False,1,False,"[5, 9, 0, 4]",True,0,1
10,martinjason@example.com,529,Tamara,Lynch,1,True,False,1,False,"[6, 0, 1, 4, 9]",True,0,1
10,hollynelson@example.net,724,William,Alvarez,1,True,False,1,False,"[9, 1, 6, 5, 0]",True,0,1
10,anaromero@example.com,514,Laura,Harris,1,True,False,1,False,"[9, 1, 0]",True,0,1
10,schneidernathan@example.org,459,David,Grant,1,True,False,1,False,"[4, 9, 0, 5]",True,0,1
11,robertpage@example.org,525,Matthew,Sanchez,1,True,False,1,False,"[0, 1, 6, 9, 4]",True,0,1
11,theresakirk@example.org,628,Brenda,Ortiz,1,True,False,1,False,"[6, 1, 9, 0]",True,0,1
11,ashleysimmons@example.com,593,Natalie,Anthony,1,True,False,1,False,"[9, 5, 4]",True,0,1
11,iwatts@example.org,502,Jessica,Johnson,1,True,False,1,False,"[1, 4, 9]",True,0,1
12,allen40@example.net,711,Linda,Sellers,1,True,False,1,False,"[0, 6, 9]",True,0,1
12,egrant@example.com,501,Amanda,Pittman,1,True,False,1,False,"[6, 1, 5, 0, 9]",True,0,1
12,fbrown@example.net,815,Christine,Jordan,1,True,False,1,False,"[0, 5, 9]",True,0,0
12,samantha31@example.com,805,Stacy,Roman,1,True,False,1,False,"[9, 0, 5, 6]",True,0,0
13,ejenkins@example.org,670,Brenda,Henry,1,True,False,1,False,"[1, 0, 9, 5]",True,0,1
13,patrickrogers@example.org,555,Christina,Foster,1,True,False,1,False,"[9, 4, 1, 6, 0]",True,0,1
13,justin83@example.org,709,Pamela,Long,1,True,False,1,False,"[1, 9, 4]",True,0,1
