group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,groupmember2,groupmember3,groupmember4,groupmember5,groupmember6,remote,race,gender
0,douglasmichael@example.org,95,Mary,Curry,1,True,False,1,False,"[6, 1, 4]",,,,,,True,3,1
0,scottparker@example.net,93,Stacy,Robertson,1,True,False,1,False,"[6, 1, 4]",,,,,,True,3,1
0,charlenemartin@example.com,79,David,Scott,1,True,False,1,False,"[6, 1, 4]",,,,,,True,0,1
0,jamiecook@example.net,62,Shawn,Atkinson,1,True,False,1,False,"[6, 1, 4]",,,,,,True,0,1
1,amanda04@example.com,77,Teresa,Bennett,1,True,False,1,False,"[6, 2, 4]",,,,,,True,0,1
1,ericagarcia@example.org,71,Ralph,Smith,1,True,False,1,False,"[2, 4]",,,,,,True,0,1
1,brittany19@example.org,89,Christine,Kline,1,True,False,1,False,"[6, 1, 2]",,,,,,True,0,1
1,allen02@example.com,78,Tracey,Johnson,1,True,False,1,False,"[6, 1, 2, 4]",,,,,,True,0,1
1,ashley40@example.com,66,Sara,Frazier,1,True,False,1,False,"[1, 2, 4]",,,,,,True,0,1
1,lreyes@example.net,92,Heather,Chang,1,True,False,1,False,"[2, 4]",,,,,,True,3,1
2,dmaldonado@example.org,80,Mrs.,Kelly,1,True,False,1,False,"[5, 6, 1, 2]",,,,,,True,0,1
2,patriciahardy@example.org,72,Cassidy,Rodriguez,1,True,False,1,False,"[5, 2, 4]",,,,,,True,0,1
2,elizabeth78@example.com,69,Cesar,Salinas,1,True,False,1,False,"[5, 6, 2, 4]",,,,,,True,0,1
2,archersherry@example.net,60,Zachary,Mclaughlin,1,True,False,1,False,"[5, 6]",,,,,,True,0,1
3,blackbenjamin@example.net,83,John,Powell,1,True,False,1,False,"[5, 6, 1, 4]",,,,,,True,0,1
3,tarmstrong@example.net,76,William,Harris,1,True,False,1,False,"[5, 2]",,,,,,True,0,1
3,rcannon@example.com,88,Alex,Hopkins,1,True,False,1,False,"[5, 2, 4]",,,,,,True,0,1
3,jeremy96@example.net,73,Brian,Mata,1,True,False,1,False,"[5, 1, 4]",,,,,,True,0,1
3,meagan79@example.org,63,Jeffrey,Adkins,1,True,False,1,False,"[5, 6, 1, 4]",,,,,,True,0,1
4,beansamuel@example.net,74,Alexandra,Wells,1,True,False,1,False,"[5, 6, 1]",,,,,,True,0,1
4,joshuamccarthy@example.net,86,Jacob,Brown,1,True,False,1,False,"[5, 1, 2, 4]",,,,,,True,0,1
4,torresrenee@example.org,90,Chris,Benson,1,True,False,1,False,"[5, 6, 1, 2, 4]",,,,,,True,3,1
4,ellisondonna@example.org,99,Alfred,Erickson,1,True,False,1,False,"[5, 6, 2]",,,,,,True,3,1
4,twhite@example.org,96,Derrick,Miles,1,True,False,1,False,"[5, 6, 2, 4]",,,,,,True,3,1
5,xmurphy@example.net,64,Taylor,Jenkins,1,True,False,1,False,"[5, 2, 3]",,,,,,True,0,1
5,samantha35@example.net,68,Danielle,Murphy,1,True,False,1,False,"[3, 4]",,,,,,True,0,1
5,anthonyjohnson@example.com,67,William,Cabrera,1,True,False,1,False,"[6, 3, 4]",,,,,,True,0,1
